dtime,instrument,trade_price,trade_size,aggressor,rectime,exch_trade_id,nanos
2024-03-12 12:29:21+00:00,FFV24,95.225,1,buy,2024-03-12 12:29:21.010106+00:00,9164082,0
2024-03-12 12:29:32.181000+00:00,FFV24,95.225,23,unknown,2024-03-12 12:29:32.189954+00:00,9164188,181000000
2024-03-12 12:29:35.022000+00:00,FFV24,95.225,2,buy,2024-03-12 12:29:35.040464+00:00,9164214,22000000
2024-03-12 12:30:01.056000+00:00,FFV24,95.215,10,unknown,2024-03-12 12:30:01.095479+00:00,9164676,56000000
2024-03-12 12:30:01.056000+00:00,FFV24,95.210,19,unknown,2024-03-12 12:30:01.095479+00:00,9164687,56000000
2024-03-12 12:30:01.056000+00:00,FFV24,95.205,2,unknown,2024-03-12 12:30:01.095479+00:00,9164699,56000000
2024-03-12 12:30:01.084000+00:00,FFV24,95.200,1,sell,2024-03-12 12:30:01.108723+00:00,9164866,84000000
2024-03-12 12:30:01.084000+00:00,FFV24,95.195,5,sell,2024-03-12 12:30:01.108723+00:00,9164867,84000000
2024-03-12 12:30:01.084000+00:00,FFV24,95.195,3,sell,2024-03-12 12:30:01.113042+00:00,9164906,84000000
2024-03-12 12:30:01.084000+00:00,FFV24,95.190,8,sell,2024-03-12 12:30:01.113042+00:00,9164917,84000000
2024-03-12 12:30:01.084000+00:00,FFV24,95.185,4,sell,2024-03-12 12:30:01.113042+00:00,9164920,84000000
2024-03-12 12:30:01.084000+00:00,FFV24,95.180,5,unknown,2024-03-12 12:30:01.113042+00:00,9164923,84000000
2024-03-12 12:30:01.091000+00:00,FFV24,95.180,3,unknown,2024-03-12 12:30:01.125940+00:00,9165066,91000000
2024-03-12 12:30:01.160000+00:00,FFV24,95.180,17,unknown,2024-03-12 12:30:01.200344+00:00,9165762,160000000
2024-03-12 12:30:01.160000+00:00,FFV24,95.165,39,sell,2024-03-12 12:30:01.200344+00:00,9165777,160000000
2024-03-12 12:30:01.590000+00:00,FFV24,95.165,4,buy,2024-03-12 12:30:01.595869+00:00,9167125,590000000
2024-03-12 12:30:01.591000+00:00,FFV24,95.165,5,buy,2024-03-12 12:30:01.600027+00:00,9167131,591000000
2024-03-12 12:30:02.716000+00:00,FFV24,95.160,4,sell,2024-03-12 12:30:02.725922+00:00,9168442,716000000
2024-03-12 12:30:03.009000+00:00,FFV24,95.155,8,sell,2024-03-12 12:30:03.015666+00:00,9168639,9000000
2024-03-12 12:30:03.141000+00:00,FFV24,95.155,2,buy,2024-03-12 12:30:03.149993+00:00,9168750,141000000
2024-03-12 12:30:03.153000+00:00,FFV24,95.155,1,buy,2024-03-12 12:30:03.160238+00:00,9168771,153000000
2024-03-12 12:30:03.165000+00:00,FFV24,95.155,1,buy,2024-03-12 12:30:03.175936+00:00,9168786,165000000
2024-03-12 12:30:03.551000+00:00,FFV24,95.165,2,unknown,2024-03-12 12:30:03.560279+00:00,9169052,551000000
2024-03-12 12:30:03.660000+00:00,FFV24,95.160,1,sell,2024-03-12 12:30:03.670771+00:00,9169096,660000000
2024-03-12 12:30:06.717000+00:00,FFV24,95.175,3,sell,2024-03-12 12:30:06.730347+00:00,9170330,717000000
2024-03-12 12:30:08.273000+00:00,FFV24,95.170,20,sell,2024-03-12 12:30:08.280565+00:00,9170918,273000000
2024-03-12 12:30:08.965000+00:00,FFV24,95.170,5,unknown,2024-03-12 12:30:08.990414+00:00,9171392,965000000
2024-03-12 12:30:08.969000+00:00,FFV24,95.175,2,buy,2024-03-12 12:30:08.995408+00:00,9171418,969000000
2024-03-12 12:30:08.972000+00:00,FFV24,95.180,2,unknown,2024-03-12 12:30:09.000376+00:00,9171456,972000000
2024-03-12 12:30:08.973000+00:00,FFV24,95.170,4,sell,2024-03-12 12:30:09.000376+00:00,9171467,973000000
2024-03-12 12:30:08.998000+00:00,FFV24,95.165,5,sell,2024-03-12 12:30:09.035213+00:00,9171846,998000000
2024-03-12 12:30:09.010000+00:00,FFV24,95.175,3,buy,2024-03-12 12:30:09.045158+00:00,9171975,10000000
2024-03-12 12:30:09.017000+00:00,FFV24,95.175,2,buy,2024-03-12 12:30:09.055124+00:00,9172057,17000000
2024-03-12 12:30:09.017000+00:00,FFV24,95.175,1,buy,2024-03-12 12:30:09.055124+00:00,9172063,17000000
2024-03-12 12:30:09.018000+00:00,FFV24,95.175,2,buy,2024-03-12 12:30:09.055124+00:00,9172064,18000000
2024-03-12 12:30:09.019000+00:00,FFV24,95.175,6,buy,2024-03-12 12:30:09.055124+00:00,9172090,19000000
2024-03-12 12:30:09.022000+00:00,FFV24,95.175,6,buy,2024-03-12 12:30:09.060026+00:00,9172108,22000000
2024-03-12 12:30:09.022000+00:00,FFV24,95.175,4,buy,2024-03-12 12:30:09.060026+00:00,9172116,22000000
2024-03-12 12:30:09.023000+00:00,FFV24,95.175,6,buy,2024-03-12 12:30:09.060026+00:00,9172121,23000000
2024-03-12 12:30:09.024000+00:00,FFV24,95.175,2,buy,2024-03-12 12:30:09.060026+00:00,9172128,24000000
2024-03-12 12:30:09.025000+00:00,FFV24,95.175,7,buy,2024-03-12 12:30:09.060026+00:00,9172135,25000000
2024-03-12 12:30:09.025000+00:00,FFV24,95.175,8,buy,2024-03-12 12:30:09.060026+00:00,9172143,25000000
2024-03-12 12:30:09.757000+00:00,FFV24,95.175,3,unknown,2024-03-12 12:30:09.764964+00:00,9172651,757000000
2024-03-12 12:30:10.325000+00:00,FFV24,95.180,6,sell,2024-03-12 12:30:10.335494+00:00,9173143,325000000
2024-03-12 12:30:10.632000+00:00,FFV24,95.180,2,unknown,2024-03-12 12:30:10.650086+00:00,9173309,632000000
2024-03-12 12:30:11.969000+00:00,FFV24,95.180,1,sell,2024-03-12 12:30:11.980277+00:00,9173600,969000000
2024-03-12 12:30:14.903000+00:00,FFV24,95.185,2,buy,2024-03-12 12:30:14.915391+00:00,9174031,903000000
2024-03-12 12:30:19.437000+00:00,FFV24,95.175,2,unknown,2024-03-12 12:30:19.445188+00:00,9174492,437000000
2024-03-12 12:30:19.437000+00:00,FFV24,95.175,2,buy,2024-03-12 12:30:19.445188+00:00,9174494,437000000
2024-03-12 12:30:19.437000+00:00,FFV24,95.175,2,buy,2024-03-12 12:30:19.445188+00:00,9174496,437000000
2024-03-12 12:30:19.437000+00:00,FFV24,95.175,2,buy,2024-03-12 12:30:19.445188+00:00,9174498,437000000
2024-03-12 12:30:19.437000+00:00,FFV24,95.175,2,buy,2024-03-12 12:30:19.445188+00:00,9174500,437000000
2024-03-12 12:30:20.372000+00:00,FFV24,95.180,1,sell,2024-03-12 12:30:20.380425+00:00,9174720,372000000
2024-03-12 12:30:23.389000+00:00,FFV24,95.185,4,buy,2024-03-12 12:30:23.400131+00:00,9175098,389000000
2024-03-12 12:30:35.811000+00:00,FFV24,95.190,6,sell,2024-03-12 12:30:35.819988+00:00,9176780,811000000
2024-03-12 12:30:39.868000+00:00,FFV24,95.195,7,sell,2024-03-12 12:30:39.880790+00:00,9177387,868000000
2024-03-12 12:30:45.396000+00:00,FFV24,95.200,3,sell,2024-03-12 12:30:45.405538+00:00,9177697,396000000
2024-03-12 12:30:51.656000+00:00,FFV24,95.205,6,buy,2024-03-12 12:30:51.665099+00:00,9178009,656000000
2024-03-12 12:30:53.609000+00:00,FFV24,95.210,5,unknown,2024-03-12 12:30:53.620481+00:00,9178148,609000000
2024-03-12 12:30:55.001000+00:00,FFV24,95.210,7,sell,2024-03-12 12:30:55.010381+00:00,9178301,1000000
2024-03-12 12:30:55.001000+00:00,FFV24,95.210,17,sell,2024-03-12 12:30:55.010381+00:00,9178302,1000000
2024-03-12 12:30:55.384000+00:00,FFV24,95.215,3,buy,2024-03-12 12:30:55.390698+00:00,9178311,384000000
2024-03-12 12:31:05.259000+00:00,FFV24,95.215,1,unknown,2024-03-12 12:31:05.280275+00:00,9178918,259000000
2024-03-12 12:31:06.029000+00:00,FFV24,95.215,36,buy,2024-03-12 12:31:06.035958+00:00,9179153,29000000
