dtime,instrument,trade_price,trade_size,aggressor,rectime,exch_trade_id,nanos
2024-03-12 12:27:02.371971+00:00,SFRU24,95.245,14,unknown,2024-03-12 12:27:02.379950+00:00,9162392,371971139
2024-03-12 12:27:11.548793+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:11.555611+00:00,9162504,548793337
2024-03-12 12:27:11.549478+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:11.560552+00:00,9162505,549478461
2024-03-12 12:27:12.415691+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:12.429717+00:00,9162525,415691005
2024-03-12 12:27:13.268712+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:13.284967+00:00,9162536,268712497
2024-03-12 12:27:13.287189+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:13.295035+00:00,9162539,287189871
2024-03-12 12:27:13.857084+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:13.865488+00:00,9162554,857084575
2024-03-12 12:27:13.875140+00:00,SFRU24,95.245,2,buy,2024-03-12 12:27:13.880391+00:00,9162561,875140933
2024-03-12 12:27:13.912589+00:00,SFRU24,95.245,2,buy,2024-03-12 12:27:13.920217+00:00,9162567,912589795
2024-03-12 12:27:13.948383+00:00,SFRU24,95.245,1,unknown,2024-03-12 12:27:13.955030+00:00,9162582,948383839
2024-03-12 12:27:13.949185+00:00,SFRU24,95.245,2,buy,2024-03-12 12:27:13.955030+00:00,9162591,949185081
2024-03-12 12:27:13.975036+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:13.985013+00:00,9162622,975036557
2024-03-12 12:27:13.997649+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:14.004876+00:00,9162627,997649917
2024-03-12 12:27:13.998810+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:14.004876+00:00,9162632,998810643
2024-03-12 12:27:14.572114+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:14.580304+00:00,9162647,572114219
2024-03-12 12:27:14.617649+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:14.625082+00:00,9162658,617649763
2024-03-12 12:27:14.619285+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:14.625082+00:00,9162672,619285801
2024-03-12 12:27:15.871300+00:00,SFRU24,95.245,50,buy,2024-03-12 12:27:15.879651+00:00,9162683,871300839
2024-03-12 12:27:22.133256+00:00,SFRU24,95.245,6,buy,2024-03-12 12:27:22.140101+00:00,9162700,133256637
2024-03-12 12:27:24.580008+00:00,SFRU24,95.245,2,buy,2024-03-12 12:27:24.590330+00:00,9162720,580008431
2024-03-12 12:27:27.463059+00:00,SFRU24,95.245,2,unknown,2024-03-12 12:27:27.469663+00:00,9162727,463059455
2024-03-12 12:27:35.740152+00:00,SFRU24,95.245,5,unknown,2024-03-12 12:27:35.750309+00:00,9162749,740152265
2024-03-12 12:27:35.740434+00:00,SFRU24,95.245,2,unknown,2024-03-12 12:27:35.750309+00:00,9162756,740434857
2024-03-12 12:27:35.741244+00:00,SFRU24,95.245,10,unknown,2024-03-12 12:27:35.750309+00:00,9162761,741244199
2024-03-12 12:27:35.742733+00:00,SFRU24,95.245,21,buy,2024-03-12 12:27:35.755278+00:00,9162773,742733019
2024-03-12 12:27:35.761331+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:35.770238+00:00,9162782,761331253
2024-03-12 12:27:36.762991+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:36.770791+00:00,9162812,762991885
2024-03-12 12:27:38.295225+00:00,SFRU24,95.245,15,buy,2024-03-12 12:27:38.305048+00:00,9162834,295225129
2024-03-12 12:27:45.802134+00:00,SFRU24,95.245,7,unknown,2024-03-12 12:27:45.810108+00:00,9162867,802134447
2024-03-12 12:27:49.959637+00:00,SFRU24,95.245,5,unknown,2024-03-12 12:27:49.969906+00:00,9162877,959637791
2024-03-12 12:27:50.054783+00:00,SFRU24,95.240,40,sell,2024-03-12 12:27:50.060460+00:00,9162879,54783537
2024-03-12 12:27:50.521174+00:00,SFRU24,95.245,60,buy,2024-03-12 12:27:50.530387+00:00,9162887,521174391
2024-03-12 12:27:55.001575+00:00,SFRU24,95.245,167,buy,2024-03-12 12:27:55.010701+00:00,9162923,1575323
2024-03-12 12:27:55.003055+00:00,SFRU24,95.245,14,buy,2024-03-12 12:27:55.015669+00:00,9162931,3055025
2024-03-12 12:27:55.003891+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:55.015669+00:00,9162935,3891975
2024-03-12 12:27:55.043616+00:00,SFRU24,95.245,1,buy,2024-03-12 12:27:55.050530+00:00,9162943,43616305
2024-03-12 12:27:56.154243+00:00,SFRU24,95.245,15,sell,2024-03-12 12:27:56.160630+00:00,9162957,154243281
2024-03-12 12:27:56.154606+00:00,SFRU24,95.245,4,sell,2024-03-12 12:27:56.169924+00:00,9162958,154606839
2024-03-12 12:27:56.162918+00:00,SFRU24,95.245,2,buy,2024-03-12 12:27:56.169924+00:00,9162959,162918609
2024-03-12 12:28:00.368843+00:00,SFRU24,95.245,1,sell,2024-03-12 12:28:00.375085+00:00,9163004,368843861
2024-03-12 12:28:01.309417+00:00,SFRU24,95.245,1,sell,2024-03-12 12:28:01.314999+00:00,9163016,309417333
2024-03-12 12:28:03.080452+00:00,SFRU24,95.245,1,buy,2024-03-12 12:28:03.090204+00:00,9163034,80452033
2024-03-12 12:28:04.007273+00:00,SFRU24,95.245,3,unknown,2024-03-12 12:28:04.015143+00:00,9163038,7273599
2024-03-12 12:28:04.598036+00:00,SFRU24,95.245,1,buy,2024-03-12 12:28:04.605522+00:00,9163043,598036159
2024-03-12 12:28:07.643752+00:00,SFRU24,95.245,1,buy,2024-03-12 12:28:07.660212+00:00,9163056,643752675
2024-03-12 12:28:08.543102+00:00,SFRU24,95.245,3,unknown,2024-03-12 12:28:08.555025+00:00,9163079,543102299
2024-03-12 12:28:08.545728+00:00,SFRU24,95.245,7,buy,2024-03-12 12:28:08.555025+00:00,9163086,545728423
2024-03-12 12:28:08.605447+00:00,SFRU24,95.245,4,buy,2024-03-12 12:28:08.614862+00:00,9163091,605447929
2024-03-12 12:28:08.605450+00:00,SFRU24,95.245,7,buy,2024-03-12 12:28:08.614862+00:00,9163092,605450607
2024-03-12 12:28:08.605504+00:00,SFRU24,95.245,1,buy,2024-03-12 12:28:08.614862+00:00,9163093,605504827
2024-03-12 12:28:08.605506+00:00,SFRU24,95.245,1,buy,2024-03-12 12:28:08.614862+00:00,9163094,605506151
2024-03-12 12:28:12.002117+00:00,SFRU24,95.240,2,sell,2024-03-12 12:28:12.010045+00:00,9163153,2117585
2024-03-12 12:28:15.462801+00:00,SFRU24,95.245,1,buy,2024-03-12 12:28:15.475757+00:00,9163219,462801729
2024-03-12 12:28:16.390252+00:00,SFRU24,95.245,1,buy,2024-03-12 12:28:16.400730+00:00,9163241,390252663
2024-03-12 12:28:21.423623+00:00,SFRU24,95.245,1,buy,2024-03-12 12:28:21.435600+00:00,9163270,423623215
